1.1 a,1.1 b,1.2 b,1.3 b,2.1 b,2.2 b,2.3 b,3.1b,3.2 b,3.3 b,4 b 
0,3.2,2.9,0,0.2,0.4,0,6.8,12.1,45.8,0
1,3.2,2.9,0,0.2,0.4,0,6.8,12,45.7,0
2,3.2,2.9,0,0.2,0.4,0,6.8,12,45.7,0
3,3.2,2.9,0,0.2,0.4,0,6.8,12,45.6,0
4,3.2,2.9,0,0.2,0.4,0,6.8,12,45.7,0
5,3.1,2.8,0,0.2,0.4,0,6.8,12,45.7,0
6,3.1,2.8,0,0.2,0.4,0,6.8,12,45.7,0
7,3.1,2.8,0,0.3,0.4,0,6.8,12,45.7,0
8,3.1,2.8,0,0.3,0.4,0,6.8,12,45.8,0
9,3.1,2.8,0,0.4,0.4,0,6.8,11.9,45.7,0
10,3.1,2.8,0,0.3,0.4,0,6.8,11.9,45.8,0
11,3.1,2.8,0,0.3,0.4,0,6.8,11.9,45.7,0
12,3,2.8,0,0.3,0.4,0,6.8,12,45.8,0
13,3,2.8,0,0.3,0.4,0,6.8,11.9,45.8,0
14,3.1,2.8,0,0.3,0.4,0,6.8,12,45.8,0
15,3,2.8,0,0.3,0.4,0,6.8,11.9,45.8,0
16,3.1,2.8,0,0.3,0.4,0,6.8,12,45.8,0
17,3,2.8,0,0.3,0.4,0,6.8,12,45.8,0
18,3.1,2.8,0,0.2,0.4,0,6.8,12,45.8,0
19,3.1,2.8,0,0.2,0.4,0,6.8,12,45.8,0
20,3,2.8,0,0.2,0.4,0,6.8,12,45.8,0
21,3,2.6,0,0.1,0.4,0,6.8,11.9,45.8,0
22,3,2.6,0,0.1,0.4,0,6.8,12,45.8,0
23,3.1,2.6,0,0.1,0.4,0,6.8,11.9,45.8,0
24,3,2.6,0,0.1,0.4,0,6.8,11.9,45.8,0
25,3.1,2.6,0,0.1,0.4,0,6.8,11.9,45.8,0
26,3.1,2.6,0,0.1,0.4,0,6.8,11.9,45.9,0
27,3.1,2.6,0,0,0.4,0,6.8,11.9,45.9,0
28,3.1,2.6,0,0,0.4,0,6.8,12,45.9,0
29,3,2.6,0,0,0.4,0,6.8,12,45.9,0
30,3.1,2.6,0,0,0.4,0,6.8,12,45.9,0
31,2.9,2.6,0,0,0.4,0,6.8,12,46,0
32,3.1,2.6,0,0,0.4,0,6.8,12,45.9,0
33,3,2.6,0,0,0.4,0,6.8,12,46,0
34,3,2.6,0,0,0.4,0,6.8,12,46,0
35,3,2.6,0,0,0.4,0,6.8,12,46,0
36,3,2.6,0,0,0.4,0,6.8,12,46,0
