# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct 11 05:55:42 2024
#
# User preference: *
#
# CONSTRAINT:  order by pl_name asc, disc_year asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,disc_year,disc_facility,pl_orbsmax,pl_bmassj,st_mass,sy_dist
11 Com b,11 Com,2007,Xinglong Station,1.178000,15.46400,2.09,93.1846000
11 UMi b,11 UMi,2009,Thueringer Landessternwarte Tautenburg,1.530000,14.74000,2.78,125.3210000
14 And b,14 And,2008,Okayama Astrophysical Observatory,0.775000,3.55900,1.78,75.4392000
14 Her b,14 Her,2002,W. M. Keck Observatory,2.774000,8.05300,0.91,17.9323000
16 Cyg B b,16 Cyg B,1996,Multiple Observatories,1.660000,1.78000,1.08,21.1397000
17 Sco b,17 Sco,2020,Lick Observatory,1.450000,4.32000,1.22,124.9530000
18 Del b,18 Del,2008,Okayama Astrophysical Observatory,2.476000,9.20700,2.10,76.2220000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,2008,Gemini Observatory,330.000000,8.00000,0.85,139.1350000
24 Boo b,24 Boo,2018,Okayama Astrophysical Observatory,0.194000,0.88300,1.05,95.9863000
24 Sex b,24 Sex,2010,Lick Observatory,1.333000,1.99000,1.54,72.0691000
24 Sex c,24 Sex,2010,Lick Observatory,2.080000,0.86000,1.54,72.0691000
2M0437 b,2MASS J04372171+2651014,2021,Subaru Telescope,118.000000,4.00000,0.17,128.4840000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2013,Paranal Observatory,84.000000,13.00000,0.19,47.2000000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,2013,W. M. Keck Observatory,52.000000,24.50000,0.40,33.8281000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,2015,Cerro Tololo Inter-American Observatory,156.000000,13.90000,0.11,40.0896412
2MASS J0249-0557 c,2MASS J0249-0557 A,2018,Mauna Kea Observatory,1950.000000,11.60000,0.05,66.0613000
2MASS J03590986+2009361 b,2MASS J03590986+2009361,2024,European Space Agency (ESA) Gaia Satellite,572.000000,18.00000,0.26,117.4350000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,2010,Hubble Space Telescope,15.000000,7.50000,0.02,120.4239870
2MASS J11011926-7732383 b,2MASS J11011926-7732383,2024,European Space Agency (ESA) Gaia Satellite,266.000000,28.00000,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,2024,European Space Agency (ESA) Gaia Satellite,587.000000,20.00000,0.59,100.8620000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,2004,Paranal Observatory,55.000000,5.00000,0.02,64.3080000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2015,Kepler,0.920000,1.90000,0.48,396.3320000
2MASS J21252752-8138278 b,2MASS J21252752-8138278,2024,European Space Agency (ESA) Gaia Satellite,7493.000000,12.00000,0.64,34.1154000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,2016,W. M. Keck Observatory,230.000000,12.50000,0.60,69.5737000
30 Ari B b,30 Ari B,2009,Thueringer Landessternwarte Tautenburg,0.990000,13.82000,1.93,44.6570000
4 UMa b,4 UMa,2006,Thueringer Landessternwarte Tautenburg,0.877000,7.90200,1.23,73.4603000
42 Dra b,42 Dra,2008,Thueringer Landessternwarte Tautenburg,1.190000,3.88000,0.98,90.6545000
47 UMa b,47 UMa,1996,Lick Observatory,2.100000,2.53000,1.06,13.7967000
47 UMa c,47 UMa,2001,Lick Observatory,3.600000,0.54000,1.06,13.7967000
47 UMa d,47 UMa,2009,Lick Observatory,11.600000,1.64000,1.06,13.7967000
51 Eri b,51 Eri,2015,Gemini Observatory,13.200000,2.00000,1.75,29.7575000
